data name	program name	data	stdout	stderr	exit code	timeout
_basic	cpp-yamlcpp	"a: b
"	"a: b
"		0	false
_basic	csharp-yaml-dot-net	"a: b
"	"a: b

"		0	false
_basic	go-gopkg.in-yaml.v2	"a: b
"	"map[a:b]
"		0	false
_basic	go-gopkg.in-yaml.v3	"a: b
"	"map[a:b]
"		0	false
_basic	go-sigs.k8s.io-yaml	"a: b
"	"map[a:b]
"		0	false
_basic	java-jackson	"a: b
"	"{a=b}
"		0	false
_basic	java-snake-yaml	"a: b
"	"{a=b}
"		0	false
_basic	javascript-js-yaml	"a: b
"	"{ a: 'b' }
"		0	false
_basic	javascript-yaml	"a: b
"	"{ a: 'b' }
"		0	false
_basic	python-load	"a: b
"	"{'a': 'b'}
"		0	false
_basic	python-safe-load	"a: b
"	"{'a': 'b'}
"		0	false
_basic	ruby-safe-load	"a: b
"	"{""a""=>""b""}
"		0	false
_basic	ruby-safe-load-alias	"a: b
"	"{""a""=>""b""}
"		0	false
_basic	ruby-safe-load-symbol	"a: b
"	"{""a""=>""b""}
"		0	false
_basic	rust-serde-yaml	"a: b
"	"Mapping(
    Mapping {
        map: {
            String(
                ""a"",
            ): String(
                ""b"",
            ),
        },
    },
)
"		0	false
_sandbox	cpp-yamlcpp	"a: &x Zm9v
b: &y !!binary *x
"		"terminate called after throwing an instance of 'YAML::ParserException'
  what():  yaml-cpp: error at line 2, column 16: end of map not found
"	133	false
_sandbox	csharp-yaml-dot-net	"a: &x Zm9v
b: &y !!binary *x
"		"Unhandled exception. (Line: 2, Col: 16, Idx: 26) - (Line: 2, Col: 18, Idx: 28): While parsing a node, did not find expected token.
"	134	false
_sandbox	go-gopkg.in-yaml.v2	"a: &x Zm9v
b: &y !!binary *x
"		"panic: yaml: line 1: did not find expected key

goroutine 1 [running]:
main.main()
	/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/go-gopkg.in-yaml.v2/main.go:20 +0xe8
exit status 2
"	1	false
_sandbox	go-gopkg.in-yaml.v3	"a: &x Zm9v
b: &y !!binary *x
"		"panic: yaml: line 1: did not find expected key

goroutine 1 [running]:
main.main()
	/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/go-gopkg.in-yaml.v3/main.go:20 +0xe8
exit status 2
"	1	false
_sandbox	go-sigs.k8s.io-yaml	"a: &x Zm9v
b: &y !!binary *x
"		"panic: error converting YAML to JSON: yaml: line 1: did not find expected key

goroutine 1 [running]:
main.main()
	/Users/lambdasawa/src/github.com/lambdasawa/yaml-testing/program/go-sigs.k8s.io-yaml/main.go:19 +0xfc
exit status 2
"	1	false
_sandbox	java-jackson	"a: &x Zm9v
b: &y !!binary *x
"		"Exception in thread ""main"" java.lang.RuntimeException: com.fasterxml.jackson.dataformat.yaml.snakeyaml.error.MarkedYAMLException: while parsing a block mapping
 in 'reader', line 1, column 1:
    a: &x Zm9v
    ^
expected <block end>, but found '<alias>'
 in 'reader', line 2, column 16:
    b: &y !!binary *x
                   ^

 at [Source: (File); line: 2, column: 15]
	at dev.lambdasawa.yamltesting.App.main(App.java:21)
Caused by: com.fasterxml.jackson.dataformat.yaml.snakeyaml.error.MarkedYAMLException: while parsing a block mapping
 in 'reader', line 1, column 1:
    a: &x Zm9v
    ^
expected <block end>, but found '<alias>'
 in 'reader', line 2, column 16:
    b: &y !!binary *x
                   ^

 at [Source: (File); line: 2, column: 15]
	at com.fasterxml.jackson.dataformat.yaml.snakeyaml.error.MarkedYAMLException.from(MarkedYAMLException.java:28)
	at com.fasterxml.jackson.dataformat.yaml.YAMLParser.nextToken(YAMLParser.java:407)
	at com.fasterxml.jackson.core.JsonParser.nextFieldName(JsonParser.java:1038)
	at com.fasterxml.jackson.databind.deser.std.MapDeserializer._readAndBindStringKeyMap(MapDeserializer.java:594)
	at com.fasterxml.jackson.databind.deser.std.MapDeserializer.deserialize(MapDeserializer.java:437)
	at com.fasterxml.jackson.databind.deser.std.MapDeserializer.deserialize(MapDeserializer.java:32)
	at com.fasterxml.jackson.databind.deser.DefaultDeserializationContext.readRootValue(DefaultDeserializationContext.java:322)
	at com.fasterxml.jackson.databind.ObjectMapper._readMapAndClose(ObjectMapper.java:4675)
	at com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:3495)
	at dev.lambdasawa.yamltesting.App.main(App.java:19)
Caused by: while parsing a block mapping
 in 'reader', line 1, column 1:
    a: &x Zm9v
    ^
expected <block end>, but found '<alias>'
 in 'reader', line 2, column 16:
    b: &y !!binary *x
                   ^

	at org.yaml.snakeyaml.parser.ParserImpl$ParseBlockMappingKey.produce(ParserImpl.java:617)
	at org.yaml.snakeyaml.parser.ParserImpl.peekEvent(ParserImpl.java:165)
	at org.yaml.snakeyaml.parser.ParserImpl.getEvent(ParserImpl.java:175)
	at com.fasterxml.jackson.dataformat.yaml.YAMLParser.nextToken(YAMLParser.java:403)
	... 8 more
"	1	false
_sandbox	java-snake-yaml	"a: &x Zm9v
b: &y !!binary *x
"		"Exception in thread ""main"" while parsing a block mapping
 in 'reader', line 1, column 1:
    a: &x Zm9v
    ^
expected <block end>, but found '<alias>'
 in 'reader', line 2, column 16:
    b: &y !!binary *x
                   ^

	at org.yaml.snakeyaml.parser.ParserImpl$ParseBlockMappingKey.produce(ParserImpl.java:654)
	at org.yaml.snakeyaml.parser.ParserImpl.peekEvent(ParserImpl.java:161)
	at org.yaml.snakeyaml.comments.CommentEventsCollector$1.peek(CommentEventsCollector.java:57)
	at org.yaml.snakeyaml.comments.CommentEventsCollector$1.peek(CommentEventsCollector.java:43)
	at org.yaml.snakeyaml.comments.CommentEventsCollector.collectEvents(CommentEventsCollector.java:136)
	at org.yaml.snakeyaml.comments.CommentEventsCollector.collectEvents(CommentEventsCollector.java:116)
	at org.yaml.snakeyaml.composer.Composer.composeScalarNode(Composer.java:241)
	at org.yaml.snakeyaml.composer.Composer.composeNode(Composer.java:205)
	at org.yaml.snakeyaml.composer.Composer.composeValueNode(Composer.java:369)
	at org.yaml.snakeyaml.composer.Composer.composeMappingChildren(Composer.java:348)
	at org.yaml.snakeyaml.composer.Composer.composeMappingNode(Composer.java:323)
	at org.yaml.snakeyaml.composer.Composer.composeNode(Composer.java:209)
	at org.yaml.snakeyaml.composer.Composer.getNode(Composer.java:131)
	at org.yaml.snakeyaml.composer.Composer.getSingleNode(Composer.java:157)
	at org.yaml.snakeyaml.constructor.BaseConstructor.getSingleData(BaseConstructor.java:178)
	at org.yaml.snakeyaml.Yaml.loadFromReader(Yaml.java:493)
	at org.yaml.snakeyaml.Yaml.load(Yaml.java:434)
	at dev.lambdasawa.yamltesting.App.main(App.java:18)
"	1	false
